Section,Page,Context,French Original,Bosnian Translation,Notes
Header,Navigation,Menu item,Accueil,Početna,
Header,Navigation,Menu item,Médecins,Doktori,
Header,Navigation,Menu item,Tableau de bord,Kontrolna tabla,
Header,Navigation,Button,Se connecter,Prijavite se,
Header,Navigation,Button,S'inscrire,Registrujte se,
Header,Navigation,Button,Déconnexion,Odjava,
Landing,Hero,Title,Book one of our hand-picked doctors in under 2 minutes,Zakažite termin kod naših pažljivo odabranih doktora za manje od 2 minute,English source - needs French then Bosnian
Landing,Hero,Subtitle,Connect with certified healthcare professionals for secure video consultations. Available 24/7 across Europe.,Povežite se sa certificiranim zdravstvenim radnicima za sigurne video konsultacije. Dostupno 24/7 širom Evrope.,
Landing,Hero,Button,Book Appointment,Zakažite termin,
Landing,Hero,Button,See How it Works,Pogledajte kako funkcionira,
Landing,Hero,Stats,50000+ patients treated,50000+ liječenih pacijenata,
Landing,Hero,Stats,4.9/5 rating,4.9/5 ocjena,
Landing,Features,Title,Our Most Picked Medical Team,Naš najtraženiji medicinski tim,
Landing,Features,Subtitle,Connect with certified specialists across various medical fields. All our doctors are verified and highly rated by patients.,Povežite se sa certificiranim specijalistima iz različitih medicinskih oblasti. Svi naši doktori su verificirani i visoko ocijenjeni od strane pacijenata.,
Landing,How it Works,Title,Simple booking process—set if available doctors first,Jednostavan proces rezervacije—prvo provjerite dostupne doktore,
Landing,How it Works,Step 1 Title,1. Find Your Doctor,1. Pronađite svog doktora,
Landing,How it Works,Step 1 Description,Browse our verified specialists and check their real-time availability. Filter by specialty language and rating.,Pregledajte naše verificirane specijaliste i provjerite njihovu dostupnost u realnom vremenu. Filtrirajte prema specijalnosti jeziku i ocjeni.,
Landing,How it Works,Step 2 Title,2. Book Instantly,2. Rezervišite odmah,
Landing,How it Works,Step 2 Description,Select an available time slot and complete your booking in under 2 minutes. Secure payment processing included.,Odaberite dostupan termin i završite rezervaciju za manje od 2 minute. Uključena je sigurna obrada plaćanja.,
Landing,How it Works,Step 3 Title,3. Start Consultation,3. Započnite konsultaciju,
Landing,How it Works,Step 3 Description,Join your secure video consultation at the scheduled time. Get professional medical advice and prescriptions.,Pridružite se vašoj sigurnoj video konsultaciji u zakazano vrijeme. Dobijte profesionalni medicinski savjet i recepte.,
Landing,Features,Feature 1 Title,GDPR Compliant,Usklađeno sa GDPR-om,
Landing,Features,Feature 1 Description,Your medical data is protected with the highest security standards and European privacy regulations.,Vaši medicinski podaci su zaštićeni najvišim sigurnosnim standardima i evropskim propisima o privatnosti.,
Landing,Features,Feature 2 Title,24/7 Availability,Dostupnost 24/7,
Landing,Features,Feature 2 Description,Access healthcare professionals around the clock including weekends and holidays.,Pristupite zdravstvenim radnicima tokom cijelog dana uključujući vikende i praznike.,
